series_id,game_id,game_number,year,date,patch,side,team,champion,pick_index,champion_games_before,champion_wins_before,champion_win_rate_before,champion_season_games_before,champion_season_wins_before,champion_season_win_rate_before,champion_patch_games_before,champion_patch_wins_before,champion_patch_win_rate_before,team_champion_games_before,team_champion_wins_before,team_champion_win_rate_before,picked_side_won
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337058,1,2026,2026-01-14 08:13:43+00:00,16.01,BLUE,DN SOOPers,Rumble,1,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337058,1,2026,2026-01-14 08:13:43+00:00,16.01,BLUE,DN SOOPers,Wukong,2,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337058,1,2026,2026-01-14 08:13:43+00:00,16.01,BLUE,DN SOOPers,Ahri,3,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337058,1,2026,2026-01-14 08:13:43+00:00,16.01,BLUE,DN SOOPers,Corki,4,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337058,1,2026,2026-01-14 08:13:43+00:00,16.01,BLUE,DN SOOPers,Pantheon,5,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337058,1,2026,2026-01-14 08:13:43+00:00,16.01,RED,KT Rolster,Malphite,1,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337058,1,2026,2026-01-14 08:13:43+00:00,16.01,RED,KT Rolster,Yunara,2,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337058,1,2026,2026-01-14 08:13:43+00:00,16.01,RED,KT Rolster,Taliyah,3,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337058,1,2026,2026-01-14 08:13:43+00:00,16.01,RED,KT Rolster,Alistar,4,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337058,1,2026,2026-01-14 08:13:43+00:00,16.01,RED,KT Rolster,K'Sante,5,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337069,2,2026,2026-01-14 09:06:16+00:00,16.01,BLUE,DN SOOPers,Ashe,1,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337069,2,2026,2026-01-14 09:06:16+00:00,16.01,BLUE,DN SOOPers,Dr. Mundo,2,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337069,2,2026,2026-01-14 09:06:16+00:00,16.01,BLUE,DN SOOPers,Viktor,3,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337069,2,2026,2026-01-14 09:06:16+00:00,16.01,BLUE,DN SOOPers,Soraka,4,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337069,2,2026,2026-01-14 09:06:16+00:00,16.01,BLUE,DN SOOPers,Sion,5,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337069,2,2026,2026-01-14 09:06:16+00:00,16.01,RED,KT Rolster,Ryze,1,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337069,2,2026,2026-01-14 09:06:16+00:00,16.01,RED,KT Rolster,Lucian,2,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337069,2,2026,2026-01-14 09:06:16+00:00,16.01,RED,KT Rolster,Braum,3,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337069,2,2026,2026-01-14 09:06:16+00:00,16.01,RED,KT Rolster,Renekton,4,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337069,2,2026,2026-01-14 09:06:16+00:00,16.01,RED,KT Rolster,Sylas,5,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337081,3,2026,2026-01-14 09:54:54+00:00,16.01,BLUE,KT Rolster,Aphelios,1,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337081,3,2026,2026-01-14 09:54:54+00:00,16.01,BLUE,KT Rolster,Jarvan IV,2,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337081,3,2026,2026-01-14 09:54:54+00:00,16.01,BLUE,KT Rolster,Thresh,3,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337081,3,2026,2026-01-14 09:54:54+00:00,16.01,BLUE,KT Rolster,Rek'Sai,4,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337081,3,2026,2026-01-14 09:54:54+00:00,16.01,BLUE,KT Rolster,Zoe,5,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337081,3,2026,2026-01-14 09:54:54+00:00,16.01,RED,DN SOOPers,Ambessa,1,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337081,3,2026,2026-01-14 09:54:54+00:00,16.01,RED,DN SOOPers,Nocturne,2,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337081,3,2026,2026-01-14 09:54:54+00:00,16.01,RED,DN SOOPers,Ziggs,3,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337081,3,2026,2026-01-14 09:54:54+00:00,16.01,RED,DN SOOPers,Aurora,4,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,LOLTMNT03_337081,3,2026,2026-01-14 09:54:54+00:00,16.01,RED,DN SOOPers,Rell,5,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_337109,1,2026,2026-01-14 11:22:18+00:00,16.01,BLUE,Dplus Kia,Jarvan IV,1,1,1,1.0,1,1,1.0,1,1,1.0,0,0,,1
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_337109,1,2026,2026-01-14 11:22:18+00:00,16.01,BLUE,Dplus Kia,Ryze,2,1,1,1.0,1,1,1.0,1,1,1.0,0,0,,1
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_337109,1,2026,2026-01-14 11:22:18+00:00,16.01,BLUE,Dplus Kia,Ambessa,3,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,1
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_337109,1,2026,2026-01-14 11:22:18+00:00,16.01,BLUE,Dplus Kia,Karma,4,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_337109,1,2026,2026-01-14 11:22:18+00:00,16.01,BLUE,Dplus Kia,Ezreal,5,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_337109,1,2026,2026-01-14 11:22:18+00:00,16.01,RED,HANJIN BRION,Neeko,1,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_337109,1,2026,2026-01-14 11:22:18+00:00,16.01,RED,HANJIN BRION,Xin Zhao,2,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_337109,1,2026,2026-01-14 11:22:18+00:00,16.01,RED,HANJIN BRION,Taliyah,3,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,0
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_337109,1,2026,2026-01-14 11:22:18+00:00,16.01,RED,HANJIN BRION,Yunara,4,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,0
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_337109,1,2026,2026-01-14 11:22:18+00:00,16.01,RED,HANJIN BRION,Rek'Sai,5,1,1,1.0,1,1,1.0,1,1,1.0,0,0,,0
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_336084,2,2026,2026-01-14 12:11:18+00:00,16.01,BLUE,Dplus Kia,Rumble,1,1,1,1.0,1,1,1.0,1,1,1.0,0,0,,1
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_336084,2,2026,2026-01-14 12:11:18+00:00,16.01,BLUE,Dplus Kia,Pantheon,2,1,1,1.0,1,1,1.0,1,1,1.0,0,0,,1
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_336084,2,2026,2026-01-14 12:11:18+00:00,16.01,BLUE,Dplus Kia,LeBlanc,3,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_336084,2,2026,2026-01-14 12:11:18+00:00,16.01,BLUE,Dplus Kia,Bard,4,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_336084,2,2026,2026-01-14 12:11:18+00:00,16.01,BLUE,Dplus Kia,Sivir,5,0,0,,0,0,,0,0,,0,0,,1
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_336084,2,2026,2026-01-14 12:11:18+00:00,16.01,RED,HANJIN BRION,Orianna,1,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_336084,2,2026,2026-01-14 12:11:18+00:00,16.01,RED,HANJIN BRION,Nocturne,2,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,0
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_336084,2,2026,2026-01-14 12:11:18+00:00,16.01,RED,HANJIN BRION,K'Sante,3,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,0
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_336084,2,2026,2026-01-14 12:11:18+00:00,16.01,RED,HANJIN BRION,Jhin,4,0,0,,0,0,,0,0,,0,0,,0
2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,LOLTMNT03_336084,2,2026,2026-01-14 12:11:18+00:00,16.01,RED,HANJIN BRION,Elise,5,0,0,,0,0,,0,0,,0,0,,0
2026_20260115_Gen_G_vs_Kiwoom_DRX_S1,LOLTMNT03_336244,1,2026,2026-01-15 08:05:23+00:00,16.01,BLUE,Kiwoom DRX,Yunara,1,2,0,0.0,2,0,0.0,2,0,0.0,0,0,,0
2026_20260115_Gen_G_vs_Kiwoom_DRX_S1,LOLTMNT03_336244,1,2026,2026-01-15 08:05:23+00:00,16.01,BLUE,Kiwoom DRX,Xin Zhao,2,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,0
2026_20260115_Gen_G_vs_Kiwoom_DRX_S1,LOLTMNT03_336244,1,2026,2026-01-15 08:05:23+00:00,16.01,BLUE,Kiwoom DRX,Orianna,3,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,0
2026_20260115_Gen_G_vs_Kiwoom_DRX_S1,LOLTMNT03_336244,1,2026,2026-01-15 08:05:23+00:00,16.01,BLUE,Kiwoom DRX,Alistar,4,1,0,0.0,1,0,0.0,1,0,0.0,0,0,,0
2026_20260115_Gen_G_vs_Kiwoom_DRX_S1,LOLTMNT03_336244,1,2026,2026-01-15 08:05:23+00:00,16.01,BLUE,Kiwoom DRX,Kennen,5,0,0,,0,0,,0,0,,0,0,,0
2026_20260115_Gen_G_vs_Kiwoom_DRX_S1,LOLTMNT03_336244,1,2026,2026-01-15 08:05:23+00:00,16.01,RED,Gen.G,Azir,1,0,0,,0,0,,0,0,,0,0,,1
