game_id,series_id,game_number,date,patch,side,team,champion,pick_index,champion_games_before,champion_wins_before,champion_win_rate_before,champion_patch_games_before,champion_patch_win_rate_before,team_champion_games_before,team_champion_win_rate_before,picked_side_won
LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,BLUE,DN SOOPers,Rumble,1,0,0,,0,,0,,1
LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,BLUE,DN SOOPers,Wukong,2,0,0,,0,,0,,1
LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,BLUE,DN SOOPers,Ahri,3,0,0,,0,,0,,1
LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,BLUE,DN SOOPers,Corki,4,0,0,,0,,0,,1
LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,BLUE,DN SOOPers,Pantheon,5,0,0,,0,,0,,1
LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,RED,KT Rolster,Malphite,1,0,0,,0,,0,,0
LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,RED,KT Rolster,Yunara,2,0,0,,0,,0,,0
LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,RED,KT Rolster,Taliyah,3,0,0,,0,,0,,0
LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,RED,KT Rolster,Alistar,4,0,0,,0,,0,,0
LOLTMNT03_337058,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,1,2026-01-14 08:13:43+00:00,16.01,RED,KT Rolster,K'Sante,5,0,0,,0,,0,,0
LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,BLUE,DN SOOPers,Ashe,1,0,0,,0,,0,,0
LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,BLUE,DN SOOPers,Dr. Mundo,2,0,0,,0,,0,,0
LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,BLUE,DN SOOPers,Viktor,3,0,0,,0,,0,,0
LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,BLUE,DN SOOPers,Soraka,4,0,0,,0,,0,,0
LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,BLUE,DN SOOPers,Sion,5,0,0,,0,,0,,0
LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,RED,KT Rolster,Ryze,1,0,0,,0,,0,,1
LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,RED,KT Rolster,Lucian,2,0,0,,0,,0,,1
LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,RED,KT Rolster,Braum,3,0,0,,0,,0,,1
LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,RED,KT Rolster,Renekton,4,0,0,,0,,0,,1
LOLTMNT03_337069,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,2,2026-01-14 09:06:16+00:00,16.01,RED,KT Rolster,Sylas,5,0,0,,0,,0,,1
LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,BLUE,KT Rolster,Aphelios,1,0,0,,0,,0,,1
LOLTMNT03_337081,LCK_20260114_DN_SOOPers_vs_KT_Rolster_S1,3,2026-01-14 09:54:54+00:00,16.01,BLUE,KT Rolster,Jarvan IV,2,0,0,,0,,0,,1
