champion,current_total_games,current_top_games,current_jng_games,current_mid_games,current_bot_games,current_sup_games,current_top_rate,current_jng_rate,current_mid_rate,current_bot_rate,current_sup_rate,current_possible_roles,current_possible_role_count,current_is_flex,latest_patch,current_patch_total_games,current_patch_top_games,current_patch_jng_games,current_patch_mid_games,current_patch_bot_games,current_patch_sup_games,current_patch_top_rate,current_patch_jng_rate,current_patch_mid_rate,current_patch_bot_rate,current_patch_sup_rate
Aatrox,71,59,11,0,1,0,0.8309859154929577,0.15492957746478872,0.0,0.014084507042253521,0.0,"[""top"", ""jng""]",2,True,16.16,4,3,1,0,0,0,0.75,0.25,0.0,0.0,0.0
Ahri,180,0,0,180,0,0,0.0,0.0,1.0,0.0,0.0,"[""mid""]",1,False,16.16,14,0,0,14,0,0,0.0,0.0,1.0,0.0,0.0
Akali,67,2,0,65,0,0,0.029850746268656716,0.0,0.9701492537313433,0.0,0.0,"[""mid""]",1,False,16.16,6,0,0,6,0,0,0.0,0.0,1.0,0.0,0.0
Alistar,186,0,0,0,0,186,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,6,0,0,0,0,6,0.0,0.0,0.0,0.0,1.0
Ambessa,238,218,16,4,0,0,0.9159663865546218,0.06722689075630252,0.01680672268907563,0.0,0.0,"[""top""]",1,False,16.16,11,11,0,0,0,0,1.0,0.0,0.0,0.0,0.0
Amumu,1,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Anivia,69,17,0,44,0,8,0.2463768115942029,0.0,0.6376811594202898,0.0,0.11594202898550725,"[""top"", ""mid"", ""sup""]",3,True,16.16,6,1,0,5,0,0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0
Annie,136,1,0,135,0,0,0.007352941176470588,0.0,0.9926470588235294,0.0,0.0,"[""mid""]",1,False,16.16,10,0,0,10,0,0,0.0,0.0,1.0,0.0,0.0
Aphelios,34,0,0,0,34,0,0.0,0.0,0.0,1.0,0.0,"[""bot""]",1,False,16.16,1,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
Ashe,124,0,0,0,122,2,0.0,0.0,0.0,0.9838709677419355,0.016129032258064516,"[""bot""]",1,False,16.16,9,0,0,0,9,0,0.0,0.0,0.0,1.0,0.0
Aurelion Sol,2,0,0,2,0,0,0.0,0.0,1.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Aurora,183,61,0,122,0,0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,"[""top"", ""mid""]",2,True,16.16,4,0,0,4,0,0,0.0,0.0,1.0,0.0,0.0
Azir,190,0,0,190,0,0,0.0,0.0,1.0,0.0,0.0,"[""mid""]",1,False,16.16,3,0,0,3,0,0,0.0,0.0,1.0,0.0,0.0
Bard,134,0,0,0,0,134,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,13,0,0,0,0,13,0.0,0.0,0.0,0.0,1.0
Blitzcrank,22,0,0,0,0,22,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
Brand,1,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Braum,114,0,0,0,0,114,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Caitlyn,93,0,0,0,93,0,0.0,0.0,0.0,1.0,0.0,"[""bot""]",1,False,16.16,12,0,0,0,12,0,0.0,0.0,0.0,1.0,0.0
Camille,57,31,0,0,0,26,0.543859649122807,0.0,0.0,0.0,0.45614035087719296,"[""top"", ""sup""]",2,True,16.16,11,7,0,0,0,4,0.6363636363636364,0.0,0.0,0.0,0.36363636363636365
Cassiopeia,72,0,0,70,2,0,0.0,0.0,0.9722222222222222,0.027777777777777776,0.0,"[""mid""]",1,False,16.16,4,0,0,4,0,0,0.0,0.0,1.0,0.0,0.0
Cho'Gath,16,8,6,1,0,1,0.5,0.375,0.0625,0.0,0.0625,"[""top"", ""jng""]",2,True,16.16,6,0,6,0,0,0,0.0,1.0,0.0,0.0,0.0
Corki,187,0,0,38,149,0,0.0,0.0,0.20320855614973263,0.7967914438502673,0.0,"[""mid"", ""bot""]",2,True,16.16,3,0,0,0,3,0,0.0,0.0,0.0,1.0,0.0
Diana,2,1,1,0,0,0,0.5,0.5,0.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dr. Mundo,13,2,11,0,0,0,0.15384615384615385,0.8461538461538461,0.0,0.0,0.0,"[""jng""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Draven,8,0,0,0,8,0,0.0,0.0,0.0,1.0,0.0,"[""bot""]",1,False,16.16,1,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
Ekko,1,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Elise,50,0,0,0,0,50,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
Ezreal,244,0,0,0,244,0,0.0,0.0,0.0,1.0,0.0,"[""bot""]",1,False,16.16,18,0,0,0,18,0,0.0,0.0,0.0,1.0,0.0
Fiddlesticks,2,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Fiora,3,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,"[""top""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Galio,128,12,0,115,0,1,0.09375,0.0,0.8984375,0.0,0.0078125,"[""mid""]",1,False,16.16,10,0,0,10,0,0,0.0,0.0,1.0,0.0,0.0
Gangplank,8,8,0,0,0,0,1.0,0.0,0.0,0.0,0.0,"[""top""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gnar,142,142,0,0,0,0,1.0,0.0,0.0,0.0,0.0,"[""top""]",1,False,16.16,9,9,0,0,0,0,1.0,0.0,0.0,0.0,0.0
Gragas,26,19,0,0,0,7,0.7307692307692307,0.0,0.0,0.0,0.2692307692307692,"[""top"", ""sup""]",2,True,16.16,2,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0
Gwen,142,142,0,0,0,0,1.0,0.0,0.0,0.0,0.0,"[""top""]",1,False,16.16,6,6,0,0,0,0,1.0,0.0,0.0,0.0,0.0
Hecarim,3,0,3,0,0,0,0.0,1.0,0.0,0.0,0.0,"[""jng""]",1,False,16.16,1,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
Hwei,18,0,0,18,0,0,0.0,0.0,1.0,0.0,0.0,"[""mid""]",1,False,16.16,1,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0
Illaoi,2,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Irelia,3,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,"[""top""]",1,False,16.16,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
Ivern,6,0,6,0,0,0,0.0,1.0,0.0,0.0,0.0,"[""jng""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Janna,2,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Jarvan IV,201,0,201,0,0,0,0.0,1.0,0.0,0.0,0.0,"[""jng""]",1,False,16.16,15,0,15,0,0,0,0.0,1.0,0.0,0.0,0.0
Jax,81,76,5,0,0,0,0.9382716049382716,0.06172839506172839,0.0,0.0,0.0,"[""top""]",1,False,16.16,4,4,0,0,0,0,1.0,0.0,0.0,0.0,0.0
