champion,current_total_games,current_top_games,current_jng_games,current_mid_games,current_bot_games,current_sup_games,current_top_rate,current_jng_rate,current_mid_rate,current_bot_rate,current_sup_rate,current_possible_roles,current_possible_role_count,current_is_flex,latest_patch,current_patch_total_games,current_patch_top_games,current_patch_jng_games,current_patch_mid_games,current_patch_bot_games,current_patch_sup_games,current_patch_top_rate,current_patch_jng_rate,current_patch_mid_rate,current_patch_bot_rate,current_patch_sup_rate
Aatrox,25,13,11,0,1,0,0.52,0.44,0.0,0.04,0.0,"[""top"", ""jng""]",2,True,16.16,4,3,1,0,0,0,0.75,0.25,0.0,0.0,0.0
Ahri,61,0,0,61,0,0,0.0,0.0,1.0,0.0,0.0,"[""mid""]",1,False,16.16,14,0,0,14,0,0,0.0,0.0,1.0,0.0,0.0
Akali,46,1,0,45,0,0,0.021739130434782608,0.0,0.9782608695652174,0.0,0.0,"[""mid""]",1,False,16.16,6,0,0,6,0,0,0.0,0.0,1.0,0.0,0.0
Alistar,54,0,0,0,0,54,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,6,0,0,0,0,6,0.0,0.0,0.0,0.0,1.0
Ambessa,100,84,16,0,0,0,0.84,0.16,0.0,0.0,0.0,"[""top"", ""jng""]",2,True,16.16,11,11,0,0,0,0,1.0,0.0,0.0,0.0,0.0
Anivia,63,11,0,44,0,8,0.1746031746031746,0.0,0.6984126984126984,0.0,0.12698412698412698,"[""top"", ""mid"", ""sup""]",3,True,16.16,6,1,0,5,0,0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0
Annie,76,1,0,75,0,0,0.013157894736842105,0.0,0.9868421052631579,0.0,0.0,"[""mid""]",1,False,16.16,10,0,0,10,0,0,0.0,0.0,1.0,0.0,0.0
Aphelios,25,0,0,0,25,0,0.0,0.0,0.0,1.0,0.0,"[""bot""]",1,False,16.16,1,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
Ashe,70,0,0,0,70,0,0.0,0.0,0.0,1.0,0.0,"[""bot""]",1,False,16.16,9,0,0,0,9,0,0.0,0.0,0.0,1.0,0.0
Aurelion Sol,1,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Aurora,78,13,0,65,0,0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0,"[""top"", ""mid""]",2,True,16.16,4,0,0,4,0,0,0.0,0.0,1.0,0.0,0.0
Azir,69,0,0,69,0,0,0.0,0.0,1.0,0.0,0.0,"[""mid""]",1,False,16.16,3,0,0,3,0,0,0.0,0.0,1.0,0.0,0.0
Bard,96,0,0,0,0,96,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,13,0,0,0,0,13,0.0,0.0,0.0,0.0,1.0
Blitzcrank,5,0,0,0,0,5,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
Braum,16,0,0,0,0,16,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Caitlyn,71,0,0,0,71,0,0.0,0.0,0.0,1.0,0.0,"[""bot""]",1,False,16.16,12,0,0,0,12,0,0.0,0.0,0.0,1.0,0.0
Camille,30,7,0,0,0,23,0.23333333333333334,0.0,0.0,0.0,0.7666666666666667,"[""top"", ""sup""]",2,True,16.16,11,7,0,0,0,4,0.6363636363636364,0.0,0.0,0.0,0.36363636363636365
Cassiopeia,55,0,0,53,2,0,0.0,0.0,0.9636363636363636,0.03636363636363636,0.0,"[""mid""]",1,False,16.16,4,0,0,4,0,0,0.0,0.0,1.0,0.0,0.0
Cho'Gath,7,1,6,0,0,0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,"[""jng""]",1,False,16.16,6,0,6,0,0,0,0.0,1.0,0.0,0.0,0.0
Corki,71,0,0,0,71,0,0.0,0.0,0.0,1.0,0.0,"[""bot""]",1,False,16.16,3,0,0,0,3,0,0.0,0.0,0.0,1.0,0.0
Dr. Mundo,13,2,11,0,0,0,0.15384615384615385,0.8461538461538461,0.0,0.0,0.0,"[""jng""]",1,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Draven,2,0,0,0,2,0,0.0,0.0,0.0,1.0,0.0,[],0,False,16.16,1,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
Ekko,1,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Elise,10,0,0,0,0,10,0.0,0.0,0.0,0.0,1.0,"[""sup""]",1,False,16.16,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
Ezreal,131,0,0,0,131,0,0.0,0.0,0.0,1.0,0.0,"[""bot""]",1,False,16.16,18,0,0,0,18,0,0.0,0.0,0.0,1.0,0.0
Galio,43,3,0,40,0,0,0.06976744186046512,0.0,0.9302325581395349,0.0,0.0,"[""mid""]",1,False,16.16,10,0,0,10,0,0,0.0,0.0,1.0,0.0,0.0
Gangplank,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,[],0,False,16.16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
