game_id,year,date,league,game_number,split,playoffs,patch,datacompleteness,source_url,source_series_id,blue_team,blue_team_id,red_team,red_team_id,first_pick_side,blue_result,red_result,winner_side,winner_team,blue_ban1,red_ban1,blue_pick1,red_pick1,blue_ban2,red_ban2,blue_pick2,red_pick2,blue_ban3,red_ban3,blue_pick3,red_pick3,blue_ban4,red_ban4,blue_pick4,red_pick4,blue_ban5,red_ban5,blue_pick5,red_pick5,team_pair,series_id,fearless_unavailable_before_game,fearless_unavailable_count,fearless_repeat_detected,blue_games_before,blue_wins_before,blue_win_rate_before,blue_season_games_before,blue_season_wins_before,blue_season_win_rate_before,blue_last5_games,blue_last5_win_rate,blue_last10_games,blue_last10_win_rate,blue_side_games_before,blue_side_win_rate_before,blue_patch_games_before,blue_patch_win_rate_before,blue_h2h_games_before,blue_h2h_win_rate_before,red_games_before,red_wins_before,red_win_rate_before,red_season_games_before,red_season_wins_before,red_season_win_rate_before,red_last5_games,red_last5_win_rate,red_last10_games,red_last10_win_rate,red_side_games_before,red_side_win_rate_before,red_patch_games_before,red_patch_win_rate_before,red_h2h_games_before,red_h2h_win_rate_before
LOLTMNT03_183532,2025,2025-01-15 08:09:30+00:00,LCK,1,Cup,0,15.01,complete,,,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,Kiwoom DRX,oe:team:1d0389df0c5eea93b04122ba167c010,BLUE,1,0,BLUE,HANJIN BRION,Ashe,Kalista,Skarner,Viktor,Varus,Rumble,K'Sante,Corki,Aurora,Azir,Yone,Sejuani,Ambessa,Ziggs,Miss Fortune,Leona,Jax,Kai'Sa,Rell,Jayce,oe:team:1d0389df0c5eea93b04122ba167c010|oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,[],0,False,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
LOLTMNT03_183538,2025,2025-01-15 09:03:08+00:00,LCK,2,Cup,0,15.01,complete,,,Kiwoom DRX,oe:team:1d0389df0c5eea93b04122ba167c010,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,BLUE,1,0,BLUE,Kiwoom DRX,Azir,Nocturne,Aurora,Rumble,Ashe,Vi,Wukong,Viego,Varus,Kalista,Kai'Sa,Taliyah,Nautilus,Ornn,Galio,Rakan,Caitlyn,Ambessa,Poppy,Xayah,oe:team:1d0389df0c5eea93b04122ba167c010|oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,False,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0
LOLTMNT03_183544,2025,2025-01-15 09:54:37+00:00,LCK,3,Cup,0,15.01,complete,,,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,Kiwoom DRX,oe:team:1d0389df0c5eea93b04122ba167c010,BLUE,0,1,RED,Kiwoom DRX,Nocturne,Vi,Varus,Xin Zhao,Lee Sin,Azir,Nautilus,Renata Glasc,LeBlanc,Ashe,Renekton,Kalista,Orianna,Nidalee,Brand,Gragas,Ornn,Zyra,Yasuo,Ambessa,oe:team:1d0389df0c5eea93b04122ba167c010|oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce"", ""Aurora"", ""Rumble"", ""Wukong"", ""Viego"", ""Kai'Sa"", ""Taliyah"", ""Galio"", ""Rakan"", ""Poppy"", ""Xayah""]",20,False,2.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,2.0,0.5,2.0,0.5,2.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,2.0,0.5,1.0,0.0,2.0,0.5,2.0,0.5
LOLTMNT03_183585,2025,2025-01-15 11:26:48+00:00,LCK,1,Cup,0,15.01,complete,,,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,BLUE,1,0,BLUE,DN SOOPers,Varus,Skarner,Kalista,Yone,Aurora,Vi,Ambessa,Sejuani,Corki,K'Sante,Renata Glasc,Ziggs,Leona,Rumble,Akali,Jayce,Nautilus,Maokai,Wukong,Alistar,oe:team:5cd2cd09ec94296f605dd13a2924d6c|oe:team:b3c72a20aa56f5d28022ac04a7dc294,2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,[],0,False,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
LOLTMNT03_182705,2025,2025-01-15 12:36:28+00:00,LCK,2,Cup,0,15.01,complete,,,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,BLUE,1,0,BLUE,Nongshim RedForce,Rumble,Skarner,K'Sante,Nocturne,Poppy,Vi,Viktor,Aurora,Jax,Corki,Xin Zhao,Orianna,Caitlyn,Ezreal,Xayah,Kai'Sa,Varus,Ashe,Rakan,Rell,oe:team:5cd2cd09ec94296f605dd13a2924d6c|oe:team:b3c72a20aa56f5d28022ac04a7dc294,2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,"[""Kalista"", ""Yone"", ""Ambessa"", ""Sejuani"", ""Renata Glasc"", ""Ziggs"", ""Akali"", ""Jayce"", ""Wukong"", ""Alistar""]",10,False,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0
LOLTMNT03_182729,2025,2025-01-15 13:34:29+00:00,LCK,3,Cup,0,15.01,complete,,,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,BLUE,1,0,BLUE,DN SOOPers,Leona,Skarner,Ashe,Corki,Nautilus,Vi,Jax,Nidalee,Rumble,Kindred,Braum,Ezreal,Gragas,Lee Sin,Ivern,Sion,Maokai,Viego,Smolder,Blitzcrank,oe:team:5cd2cd09ec94296f605dd13a2924d6c|oe:team:b3c72a20aa56f5d28022ac04a7dc294,2025_20250115_DN_SOOPers_vs_Nongshim_RedForce_S1,"[""Kalista"", ""Yone"", ""Ambessa"", ""Sejuani"", ""Renata Glasc"", ""Ziggs"", ""Akali"", ""Jayce"", ""Wukong"", ""Alistar"", ""K'Sante"", ""Nocturne"", ""Viktor"", ""Aurora"", ""Xin Zhao"", ""Orianna"", ""Xayah"", ""Kai'Sa"", ""Rakan"", ""Rell""]",20,False,2.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,2.0,0.5,2.0,0.5,2.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,2.0,0.5,1.0,0.0,2.0,0.5,2.0,0.5
LOLTMNT03_184086,2025,2025-01-16 08:09:06+00:00,LCK,1,Cup,0,15.01,complete,,,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,BLUE,0,1,RED,KT Rolster,K'Sante,Kalista,Rumble,Ashe,Ambessa,Jayce,Corki,Yone,Skarner,Vi,Maokai,Zyra,Jax,Varus,Kai'Sa,Renekton,Ornn,Ezreal,Leona,Braum,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf|oe:team:d723992568441c6bafa2658129eade7,2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,[],0,False,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
LOLTMNT03_183991,2025,2025-01-16 09:04:00+00:00,LCK,2,Cup,0,15.01,complete,,,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,BLUE,1,0,BLUE,BNK FEARX,Sejuani,Kalista,K'Sante,Xin Zhao,Ambessa,Varus,Wukong,Caitlyn,Skarner,Vi,Taliyah,Jayce,Azir,Rakan,Zeri,Viktor,Aurora,Ezreal,Rell,Poppy,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf|oe:team:d723992568441c6bafa2658129eade7,2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,"[""Rumble"", ""Ashe"", ""Corki"", ""Yone"", ""Maokai"", ""Zyra"", ""Kai'Sa"", ""Renekton"", ""Leona"", ""Braum""]",10,False,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LOLTMNT03_184105,2025,2025-01-16 09:54:20+00:00,LCK,3,Cup,0,15.01,complete,,,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,BLUE,1,0,BLUE,KT Rolster,Viego,Skarner,Sejuani,Ambessa,Nocturne,Vi,Jax,Rakan,Varus,Kalista,Azir,Xayah,Lee Sin,Ezreal,Jinx,Akali,Sylas,Lucian,Lulu,Jarvan IV,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf|oe:team:d723992568441c6bafa2658129eade7,2025_20250116_BNK_FEARX_vs_KT_Rolster_S1,"[""Rumble"", ""Ashe"", ""Corki"", ""Yone"", ""Maokai"", ""Zyra"", ""Kai'Sa"", ""Renekton"", ""Leona"", ""Braum"", ""K'Sante"", ""Xin Zhao"", ""Wukong"", ""Caitlyn"", ""Taliyah"", ""Jayce"", ""Zeri"", ""Viktor"", ""Rell"", ""Poppy""]",20,False,2.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,2.0,0.5,0.0,,2.0,0.5,2.0,0.5,2.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,2.0,0.5,0.0,,2.0,0.5,2.0,0.5
LOLTMNT03_185025,2025,2025-01-16 11:11:06+00:00,LCK,1,Cup,0,15.01,complete,,,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,BLUE,1,0,BLUE,Dplus Kia,Kalista,Vi,Nidalee,Ashe,Sejuani,Skarner,Ezreal,Zyra,Varus,K'Sante,Leona,Yone,Braum,LeBlanc,Ambessa,Rell,Poppy,Jax,Jayce,Gragas,oe:team:ce499dea30cfce118f4fe85da0227e8|oe:team:ef69efa6acebe94107f0cf1ba716806,2025_20250116_Dplus_Kia_vs_T1_S1,[],0,False,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
