game_id,year,date,league,game_number,split,playoffs,patch,datacompleteness,source_url,source_series_id,blue_team,blue_team_id,red_team,red_team_id,first_pick_side,blue_result,red_result,winner_side,winner_team,blue_ban1,red_ban1,blue_pick1,red_pick1,blue_ban2,red_ban2,blue_pick2,red_pick2,blue_ban3,red_ban3,blue_pick3,red_pick3,blue_ban4,red_ban4,blue_pick4,red_pick4,blue_ban5,red_ban5,blue_pick5,red_pick5,team_pair,series_id,fearless_unavailable_before_game,fearless_unavailable_count,fearless_repeat_detected,blue_games_before,blue_wins_before,blue_win_rate_before,blue_season_games_before,blue_season_wins_before,blue_season_win_rate_before,blue_last5_games,blue_last5_win_rate,blue_last10_games,blue_last10_win_rate,blue_side_games_before,blue_side_win_rate_before,blue_patch_games_before,blue_patch_win_rate_before,blue_h2h_games_before,blue_h2h_win_rate_before,red_games_before,red_wins_before,red_win_rate_before,red_season_games_before,red_season_wins_before,red_season_win_rate_before,red_last5_games,red_last5_win_rate,red_last10_games,red_last10_win_rate,red_side_games_before,red_side_win_rate_before,red_patch_games_before,red_patch_win_rate_before,red_h2h_games_before,red_h2h_win_rate_before
LOLTMNT03_337058,2026,2026-01-14 08:13:43+00:00,LCK,1,Cup,0,16.01,complete,,,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,RED,1,0,BLUE,DN SOOPers,Jayce,Neeko,Rumble,Malphite,Azir,Vi,Wukong,Yunara,Orianna,Sylas,Ahri,Taliyah,Ambessa,Rakan,Corki,Alistar,Nautilus,Aphelios,Pantheon,K'Sante,oe:team:b3c72a20aa56f5d28022ac04a7dc294|oe:team:d723992568441c6bafa2658129eade7,2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,[],0,False,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
LOLTMNT03_337069,2026,2026-01-14 09:06:16+00:00,LCK,2,Cup,0,16.01,complete,,,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,RED,0,1,RED,KT Rolster,Jayce,Neeko,Ashe,Ryze,Azir,Vi,Dr. Mundo,Lucian,Orianna,Cassiopeia,Viktor,Braum,Jarvan IV,Renata Glasc,Soraka,Renekton,Nocturne,Lulu,Sion,Sylas,oe:team:b3c72a20aa56f5d28022ac04a7dc294|oe:team:d723992568441c6bafa2658129eade7,2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",10,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
LOLTMNT03_337081,2026,2026-01-14 09:54:54+00:00,LCK,3,Cup,0,16.01,complete,,,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,RED,1,0,BLUE,KT Rolster,Vi,Poppy,Aphelios,Ambessa,Neeko,Jayce,Jarvan IV,Nocturne,Orianna,Azir,Thresh,Ziggs,Nautilus,Akali,Rek'Sai,Aurora,Leona,Mel,Zoe,Rell,oe:team:b3c72a20aa56f5d28022ac04a7dc294|oe:team:d723992568441c6bafa2658129eade7,2026_20260114_DN_SOOPers_vs_KT_Rolster_S1,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",20,False,2.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,2.0,0.5,0.0,,2.0,0.5,2.0,0.5,2.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,2.0,0.5,0.0,,2.0,0.5,2.0,0.5
LOLTMNT03_337109,2026,2026-01-14 11:22:18+00:00,LCK,1,Cup,0,16.01,complete,,,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,RED,1,0,BLUE,Dplus Kia,Azir,Qiyana,Jarvan IV,Neeko,Jayce,Malphite,Ryze,Xin Zhao,Orianna,Rumble,Ambessa,Taliyah,Renekton,Bard,Karma,Yunara,Kai'Sa,Lucian,Ezreal,Rek'Sai,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4|oe:team:ef69efa6acebe94107f0cf1ba716806,2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,[],0,False,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
LOLTMNT03_336084,2026,2026-01-14 12:11:18+00:00,LCK,2,Cup,0,16.01,complete,,,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,RED,1,0,BLUE,Dplus Kia,Azir,Qiyana,Rumble,Orianna,Jayce,Malphite,Pantheon,Nocturne,Vi,Akali,LeBlanc,K'Sante,Rakan,Lucian,Bard,Jhin,Nautilus,Kalista,Sivir,Elise,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4|oe:team:ef69efa6acebe94107f0cf1ba716806,2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S1,"[""Jarvan IV"", ""Neeko"", ""Ryze"", ""Xin Zhao"", ""Ambessa"", ""Taliyah"", ""Karma"", ""Yunara"", ""Ezreal"", ""Rek'Sai""]",10,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
LOLTMNT03_336244,2026,2026-01-15 08:05:23+00:00,LCK,1,Cup,0,16.01,complete,,,Kiwoom DRX,oe:team:1d0389df0c5eea93b04122ba167c010,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,RED,0,1,RED,Gen.G,Rumble,Neeko,Yunara,Azir,Jayce,Malphite,Xin Zhao,Pantheon,Poppy,Varus,Orianna,Corki,K'Sante,Lulu,Alistar,Renekton,Sion,Bard,Kennen,Nami,oe:team:1d0389df0c5eea93b04122ba167c010|oe:team:50f58982d91a36557ec8aec52ab014f,2026_20260115_Gen_G_vs_Kiwoom_DRX_S1,[],0,False,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
LOLTMNT03_336246,2026,2026-01-15 08:56:47+00:00,LCK,2,Cup,0,16.01,complete,,,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Kiwoom DRX,oe:team:1d0389df0c5eea93b04122ba167c010,BLUE,1,0,BLUE,Gen.G,Neeko,Rumble,Ryze,Cassiopeia,Sylas,Jayce,Ambessa,Jarvan IV,Vi,Malphite,Wukong,Bard,Varus,Nautilus,Ezreal,Sion,Sivir,Rakan,Leona,Jhin,oe:team:1d0389df0c5eea93b04122ba167c010|oe:team:50f58982d91a36557ec8aec52ab014f,2026_20260115_Gen_G_vs_Kiwoom_DRX_S1,"[""Yunara"", ""Azir"", ""Xin Zhao"", ""Pantheon"", ""Orianna"", ""Corki"", ""Alistar"", ""Renekton"", ""Kennen"", ""Nami""]",10,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0
LOLTMNT03_337298,2026,2026-01-15 10:15:24+00:00,LCK,1,Cup,0,16.01,complete,,,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,BLUE,0,1,RED,BNK FEARX,Vi,Rumble,Malphite,Yunara,Azir,Orianna,Aphelios,Nautilus,Sylas,Jayce,Taliyah,Ahri,Ambessa,Alistar,Sion,Lulu,Dr. Mundo,Neeko,Karma,Rek'Sai,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf|oe:team:5cd2cd09ec94296f605dd13a2924d6c,2026_20260115_BNK_FEARX_vs_Nongshim_RedForce_S1,[],0,False,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
LOLTMNT03_337304,2026,2026-01-15 11:14:42+00:00,LCK,2,Cup,0,16.01,complete,,,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,RED,1,0,BLUE,BNK FEARX,Rumble,Vi,Neeko,Orianna,Jayce,Azir,Pantheon,Varus,Jarvan IV,Ambessa,Ezreal,Alistar,Nocturne,LeBlanc,Sylas,Renekton,Xin Zhao,Gnar,Kennen,Wukong,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf|oe:team:5cd2cd09ec94296f605dd13a2924d6c,2026_20260115_BNK_FEARX_vs_Nongshim_RedForce_S1,"[""Malphite"", ""Yunara"", ""Aphelios"", ""Nautilus"", ""Taliyah"", ""Ahri"", ""Sion"", ""Lulu"", ""Karma"", ""Rek'Sai""]",10,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0
LOLTMNT03_336495,2026,2026-01-16 08:05:40+00:00,LCK,1,Cup,0,16.01,complete,,,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,RED,1,0,BLUE,Dplus Kia,Azir,Qiyana,K'Sante,Rumble,Orianna,Jayce,Ryze,Wukong,Neeko,Cassiopeia,Yunara,Taliyah,Varus,Jarvan IV,Ambessa,Corki,Jhin,Nautilus,Lulu,Nami,oe:team:b3c72a20aa56f5d28022ac04a7dc294|oe:team:ef69efa6acebe94107f0cf1ba716806,2026_20260116_DN_SOOPers_vs_Dplus_Kia_S1,[],0,False,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,,3.0,1.0,0.3333333333333333,3.0,1.0,0.3333333333333333,3.0,0.3333333333333333,3.0,0.3333333333333333,1.0,0.0,3.0,0.3333333333333333,0.0,
