game_id,series_id,game_number,order,phase,side,action,champion
82383,82383,1,1,BAN_PHASE_1,RED,BAN,Nocturne
82383,82383,1,2,BAN_PHASE_1,BLUE,BAN,Cassiopeia
82383,82383,1,3,BAN_PHASE_1,RED,BAN,Poppy
82383,82383,1,4,BAN_PHASE_1,BLUE,BAN,Vi
82383,82383,1,5,BAN_PHASE_1,RED,BAN,Ryze
82383,82383,1,6,BAN_PHASE_1,BLUE,BAN,Lee Sin
82383,82383,1,7,PICK_PHASE_1,RED,PICK,Orianna
82383,82383,1,8,PICK_PHASE_1,BLUE,PICK,Ezreal
82383,82383,1,9,PICK_PHASE_1,BLUE,PICK,Jarvan IV
82383,82383,1,10,PICK_PHASE_1,RED,PICK,Xin Zhao
82383,82383,1,11,PICK_PHASE_1,RED,PICK,Olaf
82383,82383,1,12,PICK_PHASE_1,BLUE,PICK,Trundle
82383,82383,1,13,BAN_PHASE_2,BLUE,BAN,Lucian
82383,82383,1,14,BAN_PHASE_2,RED,BAN,Karma
82383,82383,1,15,BAN_PHASE_2,BLUE,BAN,Lulu
82383,82383,1,16,BAN_PHASE_2,RED,BAN,Seraphine
82383,82383,1,17,PICK_PHASE_2,BLUE,PICK,Syndra
82383,82383,1,18,PICK_PHASE_2,RED,PICK,Caitlyn
82383,82383,1,19,PICK_PHASE_2,RED,PICK,Bard
82383,82383,1,20,PICK_PHASE_2,BLUE,PICK,Nautilus
82396,82396,1,1,BAN_PHASE_1,RED,BAN,Karma
82396,82396,1,2,BAN_PHASE_1,BLUE,BAN,Bard
82396,82396,1,3,BAN_PHASE_1,RED,BAN,Lee Sin
82396,82396,1,4,BAN_PHASE_1,BLUE,BAN,Nocturne
82396,82396,1,5,BAN_PHASE_1,RED,BAN,Orianna
82396,82396,1,6,BAN_PHASE_1,BLUE,BAN,Cassiopeia
82396,82396,1,7,PICK_PHASE_1,RED,PICK,Vi
82396,82396,1,8,PICK_PHASE_1,BLUE,PICK,Lucian
82396,82396,1,9,PICK_PHASE_1,BLUE,PICK,Milio
82396,82396,1,10,PICK_PHASE_1,RED,PICK,Yunara
82396,82396,1,11,PICK_PHASE_1,RED,PICK,Lulu
82396,82396,1,12,PICK_PHASE_1,BLUE,PICK,Jarvan IV
82396,82396,1,13,BAN_PHASE_2,BLUE,BAN,Syndra
82396,82396,1,14,BAN_PHASE_2,RED,BAN,Vayne
82396,82396,1,15,BAN_PHASE_2,BLUE,BAN,Anivia
82396,82396,1,16,BAN_PHASE_2,RED,BAN,Olaf
82396,82396,1,17,PICK_PHASE_2,BLUE,PICK,Ryze
82396,82396,1,18,PICK_PHASE_2,RED,PICK,Taliyah
82396,82396,1,19,PICK_PHASE_2,RED,PICK,Jayce
82396,82396,1,20,PICK_PHASE_2,BLUE,PICK,KSante
